index,playerId,shirtNum,positionInfo,loan,nationalTeamID,currentTeamId,birth,birthCountryId,playerName
286,161350,,Centre Central Defender,False,GB-ENG,6,12/19/1985,GB-ENG,Gary Cahill
287,50016,14.0,Centre Defensive Midfielder,False,GB-ENG,33,12/12/1994,SL,Nathaniel Chalobah
288,51513,,Centre Central Defender,False,GB-ENG,6,2/14/1987,GB-ENG,Scott Dann
289,162156,38.0,Centre Central Defender,True,AT,20,9/19/1998,AT,Kevin Danso
290,135671,,Winger,False,GB-ENG,7,2/24/2001,GB-ENG,Anthony Gordon
291,131780,29.0,Centre Central Midfielder,False,FR,1,4/14/1999,FR,Matteo Guendouzi
292,90860,23.0,Centre Central Midfielder,False,DK,20,8/5/1995,DK,Pierre-Emile Højbjerg
293,32203,2.0,Right Full Back,False,NL,33,7/22/1989,NL,Daryl Janmaat
294,159737,2.0,Right Full Back,False,GB-ENG,26,2/23/1998,GB-ENG,James Justin
295,21247,,Right Full Back,False,GB-ENG,6,4/27/1990,GB-ENG,Martin Kelly
296,43047,6.0,Centre Central Defender,False,HR,10,7/5/1989,BA,Dejan Lovren
297,22919,2.0,Right Full Back,False,GB-ENG,43,6/9/1989,GB-ENG,Matthew Lowton
298,6723,25.0,Centre Defensive Midfielder,False,BR,11,5/4/1985,BR,Fernandinho
299,50136,19.0,Right Full Back,False,ES,23,5/5/1994,ES,Javier Manquillo
300,32140,11.0,Midfielder,False,GB-ENG,131,7/20/1994,GB-ENG,Solly March
301,31289,26.0,Left Full Back,False,CD,25,11/7/1993,FR,Arthur Masuaku
302,51329,31.0,Centre Central Midfielder,False,RS,12,8/1/1988,YU,Nemanja Matic
303,135240,22.0,Right Full Back,False,ES,131,4/14/1991,ES,Martín Montoya
304,34877,20.0,Centre/Right Central Defender,False,DE,1,4/17/1992,DE,Shkodran Mustafi
305,159677,23.0,Left/Centre Attacking Midfielder,False,ES,2,6/16/1991,ES,Jota
306,144514,35.0,Goalkeeper,True,GB-ENG,127,5/14/1998,GB-ENG,Aaron Ramsdale
307,133131,1.0,Goalkeeper,False,BR,10,10/2/1992,BR,Alisson
308,160652,,Forward,False,IE,20,2/21/2000,GB-ENG,William Smallbone
309,10050,15.0,Right Full Back,False,GB-ENG,127,4/29/1991,GB-ENG,Adam Smith
310,144510,9.0,Centre Striker,False,GB-ENG,127,9/14/1997,GB-ENG,Dominic Solanke
311,10205,6.0,Centre Central Midfielder,False,GB-ENG,131,6/12/1989,GB-ENG,Dale Stephens
312,46991,6.0,Centre Central Defender,False,DE,14,1/12/1993,DE,Christoph Zimmermann
313,161549,27.0,Right Full Back,False,PT,11,5/27/1994,PT,João Cancelo
314,160103,8.0,Left Attacking Midfielder,False,GB-ENG,18,3/22/1992,GB-ENG,Luke Freeman
315,94133,14.0,Centre Central Defender,False,FR,11,5/27/1994,FR,Aymeric Laporte
316,180000,18.0,Centre Attacking Midfielder,False,AR,21,4/9/1996,AR,Giovani Lo Celso
317,90987,,Centre Central Midfielder,False,GB-ENG,21,2/2/1996,GB-ENG,Harry Winks
318,31993,16.0,Centre Central Defender,False,GB-ENG,38,2/25/1993,GB-ENG,Conor Coady
319,6011,1.0,Goalkeeper,False,ES,12,11/7/1990,ES,David de Gea
320,131750,11.0,Goalkeeper,False,PT,38,2/15/1988,PT,Rui Patrício
321,129737,1.0,Goalkeeper,False,SK,23,1/15/1989,SK,Martin Dubravka
322,130759,26.0,Goalkeeper,False,GB-ENG,33,4/3/1983,GB-ENG,Ben Foster
323,46085,,Goalkeeper,False,GB-ENG,7,3/7/1994,GB-ENG,Jordan Pickford
324,30984,1.0,Goalkeeper,False,GB-ENG,43,4/19/1992,GB-ENG,Nick Pope
325,46676,,Goalkeeper,False,AU,131,4/8/1992,AU,Mat Ryan
326,11230,1.0,Goalkeeper,False,DK,26,11/5/1986,DK,Kasper Schmeichel
327,49709,4.0,Centre Central Midfielder,False,GB-ENG,43,6/25/1989,GB-ENG,Jack Cork
328,160755,1.0,Goalkeeper,True,GB-ENG,18,3/12/1997,GB-ENG,Dean Henderson
329,133649,1.0,Goalkeeper,False,NL,14,4/3/1988,NL,Tim Krul
330,129845,1.0,Goalkeeper,False,DE,1,3/4/1992,DE,Bernd Leno
331,15257,15.0,Centre Central Defender,False,GB-NIR,33,2/6/1989,GB-NIR,Craig Cathcart
332,129756,31.0,Goalkeeper,False,ES,6,1/10/1987,ES,Vicente Guaita
333,44029,31.0,Goalkeeper,False,BR,11,8/17/1993,BR,Ederson
334,135192,1.0,Goalkeeper,False,ES,4,10/3/1994,ES,Kepa Arrizabalaga
335,161558,22.0,Centre Central Midfielder,False,IE,6,11/12/1990,IE,James McCarthy
336,130050,17.0,Centre Central Midfielder,False,BR,12,3/5/1993,BR,Fred
337,160773,11.0,Centre Central Midfielder,False,ZW,2,1/19/1994,ZW,Marvelous Nakamba
338,55835,4.0,Midfielder,True,GB-ENG,14,1/15/1998,GB-ENG,Ben Godfrey
339,140935,14.0,Centre Defensive Midfielder,False,ES,20,9/24/1991,ES,Oriol Romeu
340,30669,16.0,Centre Central Midfielder,False,GB-ENG,127,2/3/1997,GB-ENG,Lewis Cook
341,48228,21.0,Right Wing Back,False,ES,33,2/2/1991,ES,Kiko Femenía
342,41538,12.0,Left/Centre/Right Central Defender,False,GB-ENG,10,5/23/1997,GB-ENG,Joseph Gomez
343,90844,1.0,Goalkeeper,False,GB-ENG,11,12/3/1989,GB-ENG,Alex McCarthy
